ds,yhat
2014-01-03,226.8957087454583
2014-01-04,207.32682287927437
2014-01-05,214.16213844568884
2014-01-06,214.86393575454855
2014-01-07,243.3866869225394
2014-01-09,206.8727062646036
2014-01-10,220.41923647410167
2014-01-11,204.04401532877927
2014-01-13,218.76250572432087
2014-01-14,251.09059750824628
2014-01-15,231.53911453615245
2014-01-16,222.10516462038902
2014-01-18,225.97459428916068
2014-01-19,239.06858317730624
2014-01-20,245.71929061355655
2014-01-21,279.6979865364576
2014-01-23,251.91541542923775
2014-01-26,264.7886177126669
2014-01-27,268.4617352963145
2014-01-28,298.69682724409967
2014-01-30,261.36966543217613
2014-01-31,272.2380115442314
2014-02-01,251.62651860118254
2014-02-02,256.16875108262616
2014-02-03,253.2933735034593
2014-02-04,276.95093962869026
2014-02-06,226.98285148700205
2014-02-07,232.08979794409476
2014-02-08,206.28469985396885
2014-02-11,220.7341014806196
2014-02-12,189.54649317002412
2014-02-14,174.12541746373515
2014-02-15,150.0365766645553
2014-02-16,152.973109101886
2014-02-17,150.46097906552927
2014-02-18,176.50763316187079
2014-02-20,137.40968097899764
2014-02-21,150.89620351989598
2014-02-22,135.29451274223163
2014-02-23,147.2188906205803
2014-02-24,154.02896961926416
2014-02-27,169.17999387060414
2014-03-01,184.27596551574382
2014-03-02,203.8206701257333
2014-03-03,217.3947640059682
2014-03-04,258.70192252857447
2014-03-05,247.7862890964686
2014-03-07,271.14474743184275
2014-03-10,296.08717433574384
2014-03-11,334.5774904207942
2014-03-14,331.9165757259154
2014-03-15,318.73194677510696
2014-03-16,330.3619308625017
2014-03-17,334.18618689250604
2014-03-18,364.1077218524925
2014-03-19,340.3984509179645
2014-03-21,334.96624665986235
2014-03-22,313.22895984134914
2014-03-23,316.6917341489566
2014-03-24,312.86600337493985
2014-03-25,335.77129725356417
2014-03-26,305.7786584346917
2014-03-28,290.278326160503
2014-03-29,264.8550099619572
2014-03-30,265.5613034113092
2014-03-31,259.9058809023679
2014-04-01,281.88574291472804
2014-04-02,251.83096765030638
2014-04-03,231.8818831535302
2014-04-04,238.55105754665118
2014-04-05,215.25364630824885
2014-04-06,218.6408540949924
2014-04-07,216.0855970009339
2014-04-08,241.51514913643743
2014-04-11,209.57937703638908
2014-04-12,190.1009551199725
2014-04-13,197.16910469599748
2014-04-15,226.7776178765639
2014-04-16,203.32384921289912
2014-04-18,202.4703124132974
2014-04-19,184.77645752877518
2014-04-20,193.24846464471213
2014-04-21,195.2382784850106
2014-04-22,224.6052130835526
2014-04-23,201.56305746350407
2014-04-25,200.8359898726552
2014-04-26,182.96435939627798
2014-04-28,192.87279352683345
2014-04-29,221.97557235922966
2014-04-30,198.74623151664895
2014-05-02,198.04709910240967
2014-05-03,180.45720631001083
2014-05-04,189.1565122571863
2014-05-05,191.56420867606795
2014-05-06,221.59469434427862
2014-05-07,199.50299312013783
2014-05-08,187.36238490645235
2014-05-09,201.62665314491767
2014-05-10,185.66049811290077
2014-05-11,196.07288776039738
2014-05-12,200.23743801716438
2014-05-13,232.01968434771257
2014-05-14,211.62414717199826
2014-05-16,216.77320755491093
2014-05-17,202.04208219052578
2014-05-18,213.44856423819414
2014-05-19,218.33169142898277
2014-05-20,250.52962993601565
2014-05-21,230.22762108737282
2014-05-22,219.4379184913917
2014-05-23,234.56404998853074
2014-05-24,218.93289442669726
2014-05-25,229.12929729375125
2014-05-26,232.51728228056197
2014-05-27,262.9676994267939
2014-05-28,240.70520553357892
2014-05-30,240.66595528086623
2014-05-31,222.7208719060661
2014-06-01,230.58996373972272
2014-06-02,231.69034070432818
2014-06-03,259.9441786439376
2014-06-04,235.6242506054179
2014-06-06,232.0561043920725
2014-06-07,212.70848458753488
2014-06-08,219.45024313776352
2014-06-09,219.71397153354616
2014-06-10,247.4289401046859
2014-06-13,219.65684964941022
2014-06-14,200.86830573481808
2014-06-15,208.3836167260613
2014-06-16,209.59961820968527
2014-06-17,238.4059060843774
2014-06-18,215.03163526255915
2014-06-20,214.31454038184745
2014-06-21,196.74542640810776
2014-06-22,205.4093774082136
2014-06-23,207.62564099526224
2014-06-24,237.2967511763366
2014-06-25,214.62809242174993
2014-06-27,214.7833898147196
2014-06-28,197.36855827443927
2014-06-29,206.00281191611865
2014-06-30,208.06005163187604
2014-07-01,237.4187116665032
2014-07-02,214.30876062508736
2014-07-04,213.31777395759696
2014-07-05,195.2683790103907
2014-07-06,203.27766703053038
2014-07-07,204.758208812354
2014-07-08,233.62613739993367
2014-07-09,210.14686005335744
2014-07-11,208.90467939398164
2014-07-12,191.02258664589783
2014-07-13,199.41715121723854
2014-07-14,201.5094180200362
2014-07-15,231.21663905887797
2014-07-18,210.27754174227442
2014-07-19,194.00827175122225
2014-07-20,204.14084555219551
2014-07-21,208.05779517956802
2014-07-22,239.63393565846167
2014-07-23,219.08310650877758
2014-07-25,224.1093971997401
2014-07-26,209.42645769737214
2014-07-27,220.96257890985652
2014-07-28,226.06110843741064
2014-07-30,238.65262319007118
2014-08-01,244.0283746563394
2014-08-02,229.0337573656258
2014-08-03,239.93374022214746
2014-08-04,244.08163679152932
2014-08-05,275.335826009651
2014-08-06,253.90704554778705
2014-08-08,255.56439867543432
2014-08-09,238.45068088258594
2014-08-11,248.9714572331461
2014-08-12,277.9167067132519
2014-08-15,251.62902075942776
2014-08-16,232.63199158883327
2014-08-17,239.62723501102954
2014-08-19,267.82890572909935
2014-08-20,243.24734238484416
2014-08-22,239.78789834967816
2014-08-23,220.7966648804256
2014-08-24,228.0794909684305
2014-08-25,229.051802581122
2014-08-26,257.6228089459475
2014-08-27,234.04175762083665
2014-08-29,233.00836493230932
2014-08-30,215.40094832533654
2014-08-31,224.1288206825084
2014-09-01,226.56792370489686
2014-09-02,256.5893008187658
2014-09-03,234.40638323872525
2014-09-05,235.95408301018136
2014-09-06,219.44370213984766
2014-09-07,229.11327157472272
2014-09-08,232.32587762161305
2014-09-09,262.94543371583217
2014-09-10,241.1839314184611
2014-09-11,229.0806146545463
2014-09-12,243.0654369374846
2014-09-13,226.4903182912877
2014-09-14,235.9629531661963
